,monthly_price,latitude,longitude,bedrooms,bathrooms,daft_link
36,395000,53.21067191723313,-6.674148555523544,3 Bed,3 Bath,http://www.daft.ie/new-home-for-sale/terraced-house-3-bedroom-terraced-house-whitethorn-whitethorn-naas-co-kildare/2839614
37,375000,53.123648903028794,-6.0660741580064155,2 Bed,2 Bath,http://www.daft.ie/new-home-for-sale/apartment-2-bedroom-apartment-hawkins-wood-hawkins-wood-greystones-co-wicklow/3668821
38,415000,53.123648903028794,-6.0660741580064155,3 Bed,3 Bath,http://www.daft.ie/new-home-for-sale/duplex-3-bedroom-duplex-hawkins-wood-hawkins-wood-greystones-co-wicklow/3668822
39,440000,53.123648903028794,-6.0660741580064155,2 Bed,3 Bath,http://www.daft.ie/new-home-for-sale/terraced-house-2-bedroom-house-hawkins-wood-hawkins-wood-greystones-co-wicklow/3736604
40,490000,53.123648903028794,-6.0660741580064155,3 Bed,3 Bath,http://www.daft.ie/new-home-for-sale/terraced-house-3-bedroom-terraced-house-hawkins-wood-hawkins-wood-greystones-co-wicklow/3736605
41,310000,53.29928158820707,-6.496535629858317,2 Bed,2 Bath,http://www.daft.ie/new-home-for-sale/apartment-2-bedroom-apartment-graydon-graydon-newcastle-co-dublin/3526065
42,350000,53.29928158820707,-6.496535629858317,3 Bed,3 Bath,http://www.daft.ie/new-home-for-sale/duplex-3-bedroom-duplex-graydon-graydon-newcastle-co-dublin/3526064
43,250000,52.751044,-7.572386,4 Bed,2 Bath,http://www.daft.ie/for-sale/detached-house-plum-cottage-foulkscourt-johnstown-co-kilkenny/3731593
44,415000,53.395645,-6.287262,3 Bed,1 Bath,http://www.daft.ie/for-sale/semi-detached-house-40-cedarwood-park-glasnevin-glasnevin-dublin-11/3733516
45,425000,53.339676,-6.233632,2 Bed,2 Bath,http://www.daft.ie/for-sale/end-of-terrace-house-34-gordon-street-ringsend-ringsend-dublin-4/3578483
46,425000,51.876779,-8.491901,4 Bed,2 Bath,http://www.daft.ie/for-sale/detached-house-kilreens-tramore-road-co-cork/3726089
47,280000,53.399216,-6.180539,3 Bed,2 Bath,http://www.daft.ie/for-sale/apartment-25-doonbeg-house-clare-village-clarehall-dublin-13/3730726
48,229000,53.659132,-6.670789,2 Bed,2 Bath,http://www.daft.ie/for-sale/terraced-house-152-blackcastle-demesne-slane-road-navan-co-meath/3711142
49,475000,53.423441,-6.479653,4 Bed,3 Bath,http://www.daft.ie/for-sale/semi-detached-house-13-the-court-lutterell-hall-dunboyne-co-meath/3693538
50,495000,52.690835,-7.278499,4 Bed,3 Bath,http://www.daft.ie/for-sale/detached-house-troyswood-kilkenny-co-kilkenny/3717979
51,400000,53.305255133713196,-6.317437448600732,4 Bed,3 Bath,http://www.daft.ie/for-sale/detached-house-templeville-road-templeogue-dublin-6w/3723887
52,385000,52.672541,-8.663842,4 Bed,2 Bath,http://www.daft.ie/for-sale/detached-house-1-melvin-grove-caherdavin-park-ennis-road-co-limerick/3731924
53,395000,53.2635,-9.070354,2 Bed,1 Bath,http://www.daft.ie/for-sale/apartment-37-arasain-na-mara-grattan-road-salthill-co-galway/3729916
54,280000,53.274358,-9.106432,2 Bed,2 Bath,http://www.daft.ie/for-sale/apartment-garrai-coirce-clybaun-rd-upper-knocknacarra-co-galway/3711456
55,475000,53.286221,-9.069351,4 Bed,2 Bath,http://www.daft.ie/for-sale/detached-house-12-sylvan-close-fairlands-park-newcastle-co-galway/3696291
56,295000,53.284444,-6.386908,3 Bed,1 Bath,http://www.daft.ie/for-sale/semi-detached-house-48-raheen-road-tallaght-tallaght-dublin-24/3707979
57,280000,53.291307,-6.383685,3 Bed,1 Bath,http://www.daft.ie/for-sale/terraced-house-41-birchwood-drive-springfield-tallaght-dublin-24/3726696
58,380000,53.283488,-6.36479,4 Bed,3 Bath,http://www.daft.ie/for-sale/end-of-terrace-house-118-watergate-tallaght-tallaght-dublin-24/3729022
59,80000,53.944286,-8.269494,2 Bed,1 Bath,http://www.daft.ie/for-sale/detached-house-knockarush-boyle-co-roscommon/3715298
60,289000,52.651228,-8.559141,3 Bed,2 Bath,http://www.daft.ie/for-sale/semi-detached-house-101-evanwood-golf-links-road-castletroy-co-limerick/3730505
61,205000,54.258264,-8.474966,3 Bed,3 Bath,http://www.daft.ie/for-sale/semi-detached-house-46-rusheen-rd-caltragh-sligo-co-sligo/3731132
62,450000,53.330962,-6.225902,2 Bed,1 Bath,http://www.daft.ie/for-sale/apartment-4-raglan-house-ballsbridge-court-ballsbridge-dublin-4/3731429
63,199000,54.26945,-8.457496,2 Bed,2 Bath,http://www.daft.ie/for-sale/terraced-house-2-doorly-park-sligo-co-sligo/3726860
64,475000,52.596146,-7.239111,4 Bed,2 Bath,http://www.daft.ie/for-sale/detached-house-1-rathclogh-danesfort-co-kilkenny/3730480
65,285000,52.593611,-8.47801,4 Bed,2 Bath,http://www.daft.ie/for-sale/detached-house-7-castlepark-caherconlish-co-limerick/3729546
66,275000,52.089553,-7.624474,3 Bed,2 Bath,http://www.daft.ie/for-sale/terraced-house-60-oconnell-street-dungarvan-co-waterford/3535094
67,165000,52.101108,-7.601015,3 Bed,1 Bath,http://www.daft.ie/for-sale/end-of-terrace-house-11-cluain-garbh-n-abbeyside-dungarvan-co-waterford/3575125
68,360000,53.4446584,-6.2442578,3 Bed,2 Bath,http://www.daft.ie/for-sale/terraced-house-18-ridgewood-court-swords-co-dublin/3729271
69,425000,51.867412,-8.401127,4 Bed,2 Bath,http://www.daft.ie/for-sale/bungalow-30-foxwood-rochestown-co-cork/3726072
70,495000,51.891073,-8.448247,3 Bed,4 Bath,http://www.daft.ie/for-sale/bungalow-hillside-willow-lawn-boreenmanna-road-co-cork/3685537
71,209000,52.100788,-7.601586,3 Bed,3 Bath,http://www.daft.ie/for-sale/duplex-22-botairin-na-muillinn-dungarvan-co-waterford/3728818
72,325000,53.502006,-6.455918,3 Bed,3 Bath,http://www.daft.ie/for-sale/end-of-terrace-house-3-the-drive-milltree-park-ratoath-co-meath/3718377
73,225000,53.402775,-6.301179,2 Bed,2 Bath,http://www.daft.ie/for-sale/apartment-2-melville-square-meakstown-finglas-dublin-11/3728411
74,250000,54.262681,-8.468579,4 Bed,3 Bath,http://www.daft.ie/for-sale/semi-detached-house-14-ashbrook-pearse-road-sligo-co-sligo/3728956
75,295000,53.270294,-6.238367,2 Bed,2 Bath,http://www.daft.ie/for-sale/apartment-apartment-105-sandyford-view-sandyford-dublin-18/3556241
76,200000,53.40437,-6.293861,2 Bed,1 Bath,http://www.daft.ie/for-sale/apartment-39-lanesborough-court-finglas-finglas-dublin-11/3700788
77,325000,53.383169,-6.289608,3 Bed,1 Bath,http://www.daft.ie/for-sale/terraced-house-2-glenhill-grove-finglas-east-finglas-dublin-11/3716464
78,270000,53.39925,-6.183116,2 Bed,2 Bath,http://www.daft.ie/for-sale/apartment-35-kilkee-house-clare-village-clarehall-dublin-13/3726206
79,239000,54.232212,-8.292646,4 Bed,2 Bath,http://www.daft.ie/for-sale/detached-house-6-wood-green-forest-park-dromahair-co-leitrim/3728493
80,165000,54.212132,-8.506326,4 Bed,2 Bath,http://www.daft.ie/for-sale/terraced-house-36-bushy-park-ballisodare-co-sligo/3728261
81,345000,53.734743,-7.791685,5 Bed,4 Bath,http://www.daft.ie/for-sale/detached-house-13-woodlands-abbeycartron-longford/3695862
82,200000,52.0515982,-9.497674,1+ bed,1+ bath,http://www.daft.ie/for-sale/site-site-a-b-woodlawn-road-killarney-co-kerry/3705829
83,445000,53.740148,-8.902619,4 Bed,5 Bath,http://www.daft.ie/for-sale/detached-house-cloongawnagh-ballyhowly-claremorris-co-mayo/3726157
84,360000,51.890523,-8.597339,3 Bed,3 Bath,http://www.daft.ie/for-sale/end-of-terrace-house-83-coopers-grange-old-quarter-ballincollig-co-cork/3726358
85,255000,53.401676,-6.435784,2 Bed,1 Bath,http://www.daft.ie/for-sale/apartment-35-linnetfields-square-clonee-dublin-15/3595187
86,295000,53.442078,-6.211803,2 Bed,2 Bath,http://www.daft.ie/for-sale/terraced-house-5-holywell-heights-swords-co-dublin/3727847
87,149000,54.270392,-8.465297,4 Bed,1 Bath,http://www.daft.ie/for-sale/terraced-house-35-abbeyville-park-sligo-co-sligo/3722854
88,99000,52.363944,-9.577548,2 Bed,1+ bath,http://www.daft.ie/for-sale/detached-house-naries-country-cottage-leampreaghane-tralee-co-kerry/3726713
89,99000,51.75928840367823,-9.84463664069088,2 Bed,1+ bath,http://www.daft.ie/for-sale/detached-house-waters-edge-cottage-collorus-lauragh-co-kerry/3726806
90,325000,53.402007,-6.405173,3 Bed,1 Bath,http://www.daft.ie/for-sale/bungalow-25-ashfield-garden-clonsilla-dublin-15/3726332
91,265000,53.748247,-7.801423,5 Bed,2 Bath,http://www.daft.ie/for-sale/bungalow-clonbalt-house-longford-town-co-longford/3674539
92,185000,51.906404,-8.463659,3 Bed,1 Bath,http://www.daft.ie/for-sale/end-of-terrace-house-196-old-youghal-road-co-cork/3725692
93,265000,53.151472,-7.184278,3 Bed,2 Bath,http://www.daft.ie/for-sale/semi-detached-house-60-whitefields-station-road-portarlington-co-laois/3725687
94,299950,53.363769,-6.24874,2 Bed,1 Bath,http://www.daft.ie/for-sale/apartment-311-the-distillery-building-drumcondra-dublin-3/3566317
95,495000,53.466688,-9.127366,5 Bed,5 Bath,http://www.daft.ie/for-sale/detached-house-tobercrossaun-headford-co-galway/3594036
96,485000,53.3619069,-6.282803,3 Bed,2 Bath,http://www.daft.ie/for-sale/semi-detached-house-57-dowth-avenue-dublin-7/3724614
97,445000,53.4689212,-6.2310072,4 Bed,3 Bath,http://www.daft.ie/for-sale/semi-detached-house-102-sandford-wood-swords-co-dublin/3723679
98,395000,53.4678589,-6.2346825,3 Bed,2 Bath,http://www.daft.ie/for-sale/semi-detached-house-14-glen-ellan-gardens-swords-co-dublin/3718056
99,240000,51.879883,-8.515976,2 Bed,1 Bath,http://www.daft.ie/for-sale/terraced-house-4-wilton-park-villas-bishopstown-road-bishopstown-co-cork/3673301
100,99000,53.844876,-8.497015,4 Bed,1 Bath,http://www.daft.ie/for-sale/detached-house-fairymount-frenchpark-co-roscommon/3706130
101,395000,51.821861,-8.461936,4 Bed,3 Bath,http://www.daft.ie/for-sale/detached-house-25-gleann-rua-ballygarvan-co-cork/3719817
