,monthly_price,latitude,longitude,bedrooms,bathrooms,daft_link
248,320000,52.632266,-8.664826,4 Bed,2 Bath,http://www.daft.ie/for-sale/semi-detached-house-10-nessan-court-church-road-raheen-co-limerick/3728215
249,310000,54.954444,-7.740856,3 Bed,1 Bath,http://www.daft.ie/for-sale/bungalow-maryville-newline-road-letterkenny-co-donegal/3553499
250,485000,53.485443,-6.144511,3 Bed,1 Bath,http://www.daft.ie/for-sale/bungalow-11-saint-patricks-park-donabate-co-dublin/3680884
251,255000,53.343041,-6.246085,1 Bed,1 Bath,http://www.daft.ie/for-sale/terraced-house-14-erne-terrace-front-pearse-street-dublin-2/3728930
252,190000,53.351943,-6.276845,1 Bed,1 Bath,http://www.daft.ie/for-sale/apartment-apartment-167-the-richmond-dublin-7/3734856
253,240000,53.354862,-6.259991,2 Bed,1 Bath,http://www.daft.ie/for-sale/apartment-apartment-11-41-the-mews-apartments-dublin-1/3734804
254,275000,53.394746,-6.374006,2 Bed,2 Bath,http://www.daft.ie/for-sale/apartment-75-annagh-court-waterville-blanchardstown-dublin-15/3693689
255,289000,53.432349,-7.897484,4 Bed,3 Bath,http://www.daft.ie/for-sale/semi-detached-house-13-woodville-rise-woodville-grange-athlone-co-westmeath/3741694
256,255000,53.991504,-6.398937,3 Bed,1 Bath,http://www.daft.ie/for-sale/semi-detached-house-75-muirhevna-dublin-road-dundalk-co-louth/3729903
257,485000,53.382068,-6.211404,2 Bed,4 Bath,http://www.daft.ie/for-sale/semi-detached-house-6-castleview-walk-artane-dublin-5/3736633
258,430000,53.444296,-6.137061,2 Bed,2 Bath,http://www.daft.ie/for-sale/duplex-48-parkview-robswall-malahide-co-dublin/3741049
259,325000,52.429442,-8.465516,4 Bed,2 Bath,http://www.daft.ie/for-sale/detached-house-elton-knockainey-co-limerick/3581582
260,195000,52.163253,-7.142921,3 Bed,2 Bath,http://www.daft.ie/for-sale/bungalow-37-pebble-grove-pebble-beach-tramore-co-waterford/3737158
261,320000,52.168545,-7.169237,3 Bed,3 Bath,http://www.daft.ie/for-sale/semi-detached-house-64-cluain-larach-knockenduff-tramore-co-waterford/3729832
262,495000,53.399077,-6.144612,3 Bed,1 Bath,http://www.daft.ie/for-sale/semi-detached-house-42-stapolin-lawns-baldoyle-dublin-13/3604050
263,320000,52.041996,-9.93745,5 Bed,3 Bath,http://www.daft.ie/for-sale/detached-house-gowlane-glenbeigh-co-kerry/3739488
264,350000,53.374522,-6.210569,2 Bed,1 Bath,http://www.daft.ie/for-sale/end-of-terrace-house-64-clanhugh-road-donnycarney-donnycarney-dublin-3/3739229
265,485000,53.37678182663751,-6.328417817531431,3 Bed,3 Bath,http://www.daft.ie/new-home-for-sale/semi-detached-house-the-wilde-rathborne-boulevard-rathborne-boulevard-ashtown-dublin-15/3535212
266,485000,53.37678182663751,-6.328417817531431,3 Bed,3 Bath,http://www.daft.ie/new-home-for-sale/townhouse-the-joyce-rathborne-boulevard-rathborne-boulevard-ashtown-dublin-15/3535214
267,300000,53.400503,-6.138625,2 Bed,2 Bath,http://www.daft.ie/for-sale/apartment-8-red-arches-road-the-coast-baldoyle-dublin-13/3732958
268,340000,52.133948,-7.934166,4 Bed,3 Bath,http://www.daft.ie/for-sale/semi-detached-house-10-castle-court-lismore-co-waterford/3738807
269,450000,53.433091,-6.375887,4 Bed,4 Bath,http://www.daft.ie/for-sale/detached-house-2-chapelwood-green-hollystown-hollystown-dublin-15/3738609
270,375000,52.089265,-7.638079,4 Bed,3 Bath,http://www.daft.ie/for-sale/detached-house-14-silversprings-dungarvan-co-waterford/3738587
271,140000,52.24956308815928,-7.072645584603748,1+ bed,1+ bath,http://www.daft.ie/for-sale/site-1-marion-terrace-ballinakill-co-waterford/3642290
272,450000,52.241577,-7.091457,6 Bed,2 Bath,http://www.daft.ie/for-sale/detached-house-shangril-williamstown-road-co-waterford/3549721
273,330000,53.357168,-6.287719,2 Bed,1 Bath,http://www.daft.ie/for-sale/duplex-54-rathdown-square-north-circular-road-dublin-7/3696394
274,425000,52.414941,-6.943436,4 Bed,2 Bath,http://www.daft.ie/for-sale/detached-house-ashmount-mountelliott-new-ross-co-wexford/3736860
275,425000,53.353626,-6.293951,1 Bed,1 Bath,http://www.daft.ie/for-sale/terraced-house-25-ross-street-stoneybatter-dublin-7/3737346
276,230000,52.679941,-7.023848,4 Bed,2 Bath,http://www.daft.ie/for-sale/detached-house-main-street-paulstown-paulstown-co-kilkenny/3714399
277,350000,53.251033,-6.20617,2 Bed,2 Bath,http://www.daft.ie/for-sale/apartment-apartment-21-wingfield-stepaside-dublin-18/3674962
278,295000,52.678135,-6.277806,4 Bed,3 Bath,http://www.daft.ie/for-sale/detached-house-13-clonattin-village-gorey-co-wexford/3602466
279,175000,52.675808,-6.291864,3 Bed,1 Bath,http://www.daft.ie/for-sale/townhouse-15-church-street-gorey-co-wexford/3685899
280,390000,52.6831,-6.389123,4 Bed,3 Bath,http://www.daft.ie/for-sale/detached-house-4-baile-thioboid-craanford-gorey-co-wexford/3696299
281,210000,52.67074,-6.29517,2 Bed,2 Bath,http://www.daft.ie/for-sale/apartment-54-station-court-the-avenue-gorey-co-wexford/3701081
282,330000,52.921618,-7.340748,3 Bed,1 Bath,http://www.daft.ie/for-sale/bungalow-18-abbey-crescent-ballyroan-road-abbeyleix-co-laois/3735721
283,350000,53.358112,-6.296885,2 Bed,1 Bath,http://www.daft.ie/for-sale/end-of-terrace-house-13-glenmore-road-blackhorse-avenue-dublin-7/3736569
284,425000,51.871797,-8.432649,4 Bed,3 Bath,http://www.daft.ie/for-sale/semi-detached-house-14-hunters-way-maryborough-woods-douglas-co-cork/3693710
285,275000,53.44797,-6.23378,2 Bed,2 Bath,http://www.daft.ie/for-sale/apartment-51-boroimhe-birches-swords-co-dublin/3719144
286,275000,53.337498,-6.295032,1 Bed,1 Bath,http://www.daft.ie/for-sale/terraced-house-23-rialto-cottages-rialto-rialto-dublin-8/3471891
287,140000,53.858866,-7.602393,3 Bed,2 Bath,http://www.daft.ie/for-sale/semi-detached-house-cleenrah-aughnacliffe-co-longford/3712563
288,490000,53.435712,-6.167225,3 Bed,1 Bath,http://www.daft.ie/for-sale/bungalow-2-connolly-avenue-malahide-co-dublin/3727636
289,285000,53.403541,-6.412461,2 Bed,1 Bath,http://www.daft.ie/for-sale/terraced-house-8-bramblefield-court-clonee-clonee-dublin-15/3713650
290,320000,53.26726,-9.088863,2 Bed,2 Bath,http://www.daft.ie/for-sale/apartment-6-cuan-na-coille-fort-lorenzo-galway-taylors-hill-co-galway/3719157
291,345000,53.26728,-9.088937,3 Bed,2 Bath,http://www.daft.ie/for-sale/duplex-11-cuan-na-coille-fort-lorenzo-galway-taylors-hill-co-galway/3698143
292,225000,53.400571,-6.265693,3 Bed,2 Bath,http://www.daft.ie/for-sale/apartment-apartment-28-linnbhla-santry-cross-ballymun-dublin-9/3734888
293,145000,52.847944,-9.001783,4 Bed,2 Bath,http://www.daft.ie/for-sale/semi-detached-house-44-dun-na-hinse-lahinch-road-ennis-co-clare/3732978
294,425000,53.100155,-8.723718,5 Bed,4 Bath,http://www.daft.ie/for-sale/detached-house-farnaun-gort-co-galway/3723127
295,50000,53.19755851612475,-7.274921925873741,1+ bed,1+ bath,http://www.daft.ie/for-sale/site-kilcooney-clonygowan-co-offaly/97878
296,325000,53.386289,-6.249342,2 Bed,1 Bath,http://www.daft.ie/for-sale/terraced-house-212-larkhill-road-whitehall-dublin-9/3734522
297,385000,53.4714238,-6.2386134,3 Bed,3 Bath,http://www.daft.ie/for-sale/end-of-terrace-house-1-castleview-lawns-swords-co-dublin/3733766
298,220000,53.510131,-6.536493,2 Bed,1 Bath,http://www.daft.ie/for-sale/apartment-29-the-courtyard-dunshaughlin-co-meath/3696484
299,375000,53.400428,-6.138456,3 Bed,3 Bath,http://www.daft.ie/for-sale/duplex-4-red-arches-road-the-coast-baldoyle-dublin-13/3730166
300,355000,53.165608,-6.914783,3 Bed,3 Bath,http://www.daft.ie/new-home-for-sale/semi-detached-house-h-type-3-bed-semi-detached-oak-church-h-type-3-bed-semi-detached-oak-church-kildare-co-kildare/3734007
301,275000,51.887844,-8.525316,3 Bed,1 Bath,http://www.daft.ie/for-sale/semi-detached-house-6-kenley-avenue-model-farm-road-model-farm-road-co-cork/2737927
302,165000,51.893196,-8.475598,2 Bed,1 Bath,http://www.daft.ie/for-sale/terraced-house-62-saint-kevin-square-barrack-street-co-cork/3725731
303,255000,52.51393159173378,-6.594475219414221,3 Bed,2 Bath,http://www.daft.ie/new-home-for-sale/semi-detached-house-house-type-aa-old-forge-road-old-forge-road-milehouse-road-enniscorthy-co-wexford/3509744
304,270000,52.51393159173378,-6.594475219414221,4 Bed,2 Bath,http://www.daft.ie/new-home-for-sale/semi-detached-house-house-type-bb-old-forge-road-old-forge-road-milehouse-road-enniscorthy-co-wexford/3509743
305,275000,52.51393159173378,-6.594475219414221,3 Bed,3 Bath,http://www.daft.ie/new-home-for-sale/semi-detached-house-house-type-a-old-forge-road-old-forge-road-milehouse-road-enniscorthy-co-wexford/2908411
306,290000,52.51393159173378,-6.594475219414221,4 Bed,3 Bath,http://www.daft.ie/new-home-for-sale/semi-detached-house-house-type-b-old-forge-road-old-forge-road-milehouse-road-enniscorthy-co-wexford/2908413
307,239500,54.6393277767651,-8.108073253933213,3 Bed,2 Bath,http://www.daft.ie/new-home-for-sale/terraced-house-house-type-e1-the-grange-the-grange-lurganboy-donegal-town-co-donegal/3735955
308,239500,54.6393277767651,-8.108073253933213,3 Bed,2 Bath,http://www.daft.ie/new-home-for-sale/terraced-house-house-type-d1-the-grange-the-grange-lurganboy-donegal-town-co-donegal/3735956
309,249500,54.6393277767651,-8.108073253933213,3 Bed,2 Bath,http://www.daft.ie/new-home-for-sale/end-of-terrace-house-house-type-d-the-grange-the-grange-lurganboy-donegal-town-co-donegal/3735953
310,249500,54.6393277767651,-8.108073253933213,3 Bed,2 Bath,http://www.daft.ie/new-home-for-sale/end-of-terrace-house-house-type-e-the-grange-the-grange-lurganboy-donegal-town-co-donegal/3735958
311,255000,54.6393277767651,-8.108073253933213,3 Bed,2 Bath,http://www.daft.ie/new-home-for-sale/semi-detached-house-house-type-c1-the-grange-the-grange-lurganboy-donegal-town-co-donegal/3735954
312,259500,54.6393277767651,-8.108073253933213,3 Bed,2 Bath,http://www.daft.ie/new-home-for-sale/semi-detached-house-house-type-b-the-grange-the-grange-lurganboy-donegal-town-co-donegal/3735952
313,299500,54.6393277767651,-8.108073253933213,4 Bed,2 Bath,http://www.daft.ie/new-home-for-sale/semi-detached-house-house-type-a-the-grange-the-grange-lurganboy-donegal-town-co-donegal/3205058
314,215000,52.796912,-6.158722,2 Bed,1 Bath,http://www.daft.ie/for-sale/apartment-apartment-8-saint-marys-court-arklow-co-wicklow/3730302
315,480000,51.91479803669321,-8.2614181366977,4 Bed,4 Bath,http://www.daft.ie/new-home-for-sale/detached-house-house-type-a-cluain-cairn-cluain-cairn-station-road-carrigtwohill-co-cork/3187469
316,275000,53.375153,-6.253586,1 Bed,1 Bath,http://www.daft.ie/for-sale/apartment-apartment-5-beaucourt-achill-road-drumcondra-dublin-9/3629451
317,395000,53.356837,-6.253084,4 Bed,1 Bath,http://www.daft.ie/for-sale/end-of-terrace-house-1-summer-street-north-north-circular-road-dublin-1/3611781
318,250000,51.929016,-8.391301,2 Bed,1 Bath,http://www.daft.ie/for-sale/terraced-house-5-marble-park-riverstown-glanmire-co-cork/3638177
319,235000,51.891518,-8.484463,2 Bed,1 Bath,http://www.daft.ie/for-sale/terraced-house-53a-lough-road-the-lough-co-cork/3643592
320,295000,51.934525,-8.393731,3 Bed,1 Bath,http://www.daft.ie/for-sale/semi-detached-house-5-crestfield-view-glanmire-co-cork/3732985
321,260000,51.908676,-8.47738,3 Bed,1 Bath,http://www.daft.ie/for-sale/semi-detached-house-14-redemption-road-co-cork/3673873
322,175000,53.39283,-6.438528,1 Bed,1 Bath,http://www.daft.ie/for-sale/apartment-49-hayworth-terrace-ongar-village-ongar-dublin-15/3726830
323,390000,53.468739,-6.232282,3 Bed,3 Bath,http://www.daft.ie/for-sale/semi-detached-house-64-sandford-wood-swords-co-dublin/3711193
324,275000,53.276167,-8.96738,3 Bed,2 Bath,http://www.daft.ie/for-sale/apartment-apartment-171-bo-reann-bheag-roscam-co-galway/3731271
325,275000,52.818165,-6.934428,3 Bed,3 Bath,http://www.daft.ie/for-sale/detached-house-125-cluain-bu-quinagh-carlow-town-co-carlow/3671004
326,440000,52.48814714971672,-6.288844298941887,4 Bed,4 Bath,http://www.daft.ie/for-sale/detached-house-killincooley-more-kilmuckridge-co-wexford/3731620
327,189000,53.518675,-7.340091,3 Bed,2 Bath,http://www.daft.ie/for-sale/duplex-22-ushnagh-court-lynn-road-mullingar-co-westmeath/3730176
328,400000,53.363334,-6.261458,5 Bed,5 Bath,http://www.daft.ie/for-sale/terraced-house-30-saint-annes-road-drumcondra-drumcondra-dublin-3/3723953
329,160000,53.050075,-7.322763,2 Bed,2 Bath,http://www.daft.ie/for-sale/apartment-gandon-court-portlaoise-co-laois/3730910
330,220000,52.657628,-8.607314,3 Bed,1 Bath,http://www.daft.ie/for-sale/semi-detached-house-14-ballysimon-crescent-fairgreen-road-co-limerick/3718998
331,180000,53.7284668,-6.8800407,3 Bed,1 Bath,http://www.daft.ie/for-sale/terraced-house-1-columba-terrace-kells-co-meath/3700950
332,250000,53.286411,-7.50372,4 Bed,3 Bath,http://www.daft.ie/for-sale/semi-detached-house-110-carraig-cluain-tullamore-co-offaly/3685191
333,250000,53.260586,-7.481854,4 Bed,2 Bath,http://www.daft.ie/for-sale/semi-detached-house-11-clonminch-wood-gayfield-tullamore-co-offaly/3722353
334,175000,53.447332,-9.070527,3 Bed,1 Bath,http://www.daft.ie/for-sale/detached-house-rafwee-headford-co-galway/3716986
335,165000,51.908107,-8.168681,2 Bed,1 Bath,http://www.daft.ie/for-sale/apartment-5-coppinger-lane-castleredmond-court-midleton-co-cork/3728338
336,325000,53.333629,-6.275767,2 Bed,1 Bath,http://www.daft.ie/for-sale/apartment-apartment-54-73-leonards-court-clanbrassil-street-lower-dublin-8/3582896
337,219000,53.278089,-6.419148,2 Bed,2 Bath,http://www.daft.ie/for-sale/apartment-apartment-10-block-a-belfry-hall-citywest-co-dublin/3728907
338,265000,51.894995,-8.465827,2 Bed,2 Bath,http://www.daft.ie/for-sale/apartment-apartment-18-copley-hall-co-cork/3699180
339,430000,53.401565,-6.140619,3 Bed,3 Bath,http://www.daft.ie/for-sale/terraced-house-30-red-arches-park-baldoyle-dublin-13/3728604
340,175000,53.270064,-6.369625,1 Bed,1 Bath,http://www.daft.ie/for-sale/apartment-38-marlfield-close-tallaght-tallaght-dublin-24/3718458
341,495000,53.34355,-6.221483,2 Bed,1 Bath,http://www.daft.ie/for-sale/terraced-house-seaflower-cottage-pigeon-house-road-dublin-4/3184365
